set,dataset,a,b,c,sigma0
1,69,2.009224,-0.544645,0.000000,1.460509
1,70,-1.965224,1.142766,0.000000,0.932714
1,71,-2.078863,-1.007696,0.000000,0.952301
1,72,-0.630176,1.851293,0.000000,0.627736
1,73,4.065081,-0.875952,0.000000,1.025175
1,74,-4.555984,-0.455719,0.000000,1.078471
1,75,-4.102284,1.686058,0.000000,0.792647
1,76,-3.639780,0.293619,0.000000,0.541791
1,77,3.973021,0.373819,0.000000,0.600415
1,78,-1.952133,-0.221023,0.000000,0.718454
1,79,2.037432,1.209602,0.000000,0.738900
1,80,-0.107401,-0.488450,0.000000,1.169322
1,81,1.976127,-1.488449,0.000000,1.238970
1,82,3.931073,-1.285506,0.000000,1.367415
1,83,-1.720701,-0.115435,0.000000,1.245414
1,84,2.534216,1.890490,0.000000,1.174677
1,85,-1.152929,1.759658,0.000000,1.493270
1,86,4.181712,-0.305701,0.000000,1.240759
1,87,-2.010878,0.995510,0.000000,0.675517
1,88,1.842178,-0.147527,0.000000,0.630362
1,89,1.092311,-0.222304,0.000000,0.923498
1,90,0.721596,-1.519205,0.000000,0.746657
1,91,3.722488,-1.940187,0.000000,1.169425
1,92,3.514491,-0.590879,0.000000,0.985077
1,93,2.537826,-1.032978,0.000000,1.199896
1,94,-0.947303,1.353493,0.000000,0.326544
1,95,2.847278,-0.213964,0.000000,0.515321
1,96,4.482348,1.917898,0.000000,0.711962
1,97,3.711571,-0.968477,0.000000,0.796972
1,98,1.759971,-0.876417,0.000000,1.161960
1,99,-0.888498,1.022500,0.000000,0.951183
2,0,3.493063,1.629722,0.000000,1.480085
2,1,4.319036,-1.349494,0.000000,0.377165
2,2,4.008968,-0.110759,0.000000,0.969527
2,3,-3.264686,-1.584488,0.000000,1.016089
2,4,-2.240083,-0.901122,0.000000,0.847144
2,5,4.573171,-0.226969,0.000000,1.096849
2,6,-3.205779,-1.347725,0.000000,1.074396
2,7,-2.006455,-0.835703,0.000000,0.882706
2,8,0.301710,-1.378596,0.000000,0.573803
2,9,1.445532,1.903961,0.000000,0.891179
2,10,-3.780569,0.448031,0.000000,0.656814
2,11,0.702822,0.490299,0.000000,0.881330
2,12,-3.348405,1.280905,0.000000,0.369287
2,13,-0.021968,1.724292,0.000000,0.594906
2,14,3.314734,-0.692907,0.000000,1.260194
2,15,-2.894271,-0.738821,0.000000,1.491475
2,16,4.144836,-0.457751,0.000000,1.146992
2,17,-3.165482,-0.350034,0.000000,1.498477
2,18,-3.038561,1.416401,0.000000,0.704309
2,19,2.253183,1.623535,0.000000,1.207951
2,20,3.253553,0.017768,0.000000,1.336018
2,21,3.359542,1.446749,0.000000,0.686794
2,22,-2.688549,-0.029435,0.000000,1.192734
2,23,-1.076875,-0.635764,0.000000,0.396256
2,24,-1.539064,0.842322,0.000000,0.618508
2,25,-0.009562,1.039643,0.000000,0.428495
2,26,-1.799595,0.554986,0.000000,0.565019
2,27,-2.322065,0.908224,0.000000,0.788107
2,28,1.125912,-1.914088,0.000000,0.925546
2,29,0.438935,1.963659,0.000000,1.382597
2,30,-4.386294,-1.528081,0.000000,1.263712
2,31,-4.293740,1.354677,0.000000,1.349634
2,32,2.833507,1.806272,0.000000,1.432416
2,33,-1.624169,0.023202,0.000000,0.770121
2,34,-3.286410,-0.492485,0.000000,1.101900
2,35,4.393467,0.200050,0.000000,0.859634
2,36,0.174190,1.419902,0.000000,0.325377
2,37,-1.265191,0.332804,0.000000,1.004522
2,38,-1.040066,-0.369615,0.000000,1.454658
2,39,-3.916187,0.866835,0.000000,0.871162
2,40,0.041763,-1.266404,0.000000,0.732835
2,41,-0.645437,1.915137,0.000000,1.078986
2,42,2.782452,-0.238272,0.000000,0.651194
2,43,4.659952,1.399661,0.000000,1.381784
2,44,-3.631096,0.384388,0.000000,1.170237
2,45,0.845766,0.852351,0.000000,0.662053
2,46,3.834994,1.415817,0.000000,0.873564
2,47,1.601465,0.884346,0.000000,1.247866
2,48,-2.557034,-1.889269,0.000000,0.343289
2,49,0.072684,-0.544636,0.000000,0.533658
2,50,1.405503,-1.509955,0.000000,1.114994
2,51,4.792471,-0.964565,0.000000,0.389899
2,52,2.631975,0.289570,0.000000,1.009760
2,53,-3.606073,1.305069,0.000000,1.313229
2,54,-3.373476,-1.387130,0.000000,1.127017
2,55,0.279969,1.193848,0.000000,0.937920
2,56,2.285269,0.066802,0.000000,1.496452
2,57,-2.538116,-1.966491,0.000000,0.870618
2,58,4.303601,-1.401334,0.000000,1.158145
2,59,1.510745,1.646524,0.000000,1.156375
2,60,-3.815057,1.772265,0.000000,0.457894
2,61,-3.488905,-0.510995,0.000000,1.172184
2,62,-0.857049,-0.097310,0.000000,0.467573
2,63,3.945815,0.682634,0.000000,0.874683
2,64,2.650942,-0.299122,0.000000,0.433120
2,65,3.063444,0.919681,0.000000,0.708508
2,66,1.856977,1.393450,0.000000,1.411877
2,67,2.053723,-0.106605,0.000000,0.432456
2,68,0.661957,1.431917,0.000000,1.303704
2,69,2.933543,-1.296487,0.000000,0.306734
2,70,4.707870,-1.679289,0.000000,0.682809
2,71,2.902539,0.857311,0.000000,0.884863
2,72,-2.941518,0.798481,0.000000,0.574575
2,73,-3.076472,-0.382059,0.000000,0.656775
2,74,-3.430804,1.347271,0.000000,0.535161
2,75,-4.850301,-1.285974,0.000000,1.438469
2,76,-4.237374,0.359605,0.000000,1.110761
2,77,2.249402,-0.735276,0.000000,0.920518
2,78,1.447423,1.662126,0.000000,1.202635
2,79,-2.199234,-0.012066,0.000000,1.436338
2,80,2.183679,-0.311549,0.000000,0.892058
2,81,2.040383,-0.903687,0.000000,1.297955
2,82,-2.265905,1.230818,0.000000,1.113255
2,83,-1.029349,0.859292,0.000000,1.289029
2,84,2.576661,1.502323,0.000000,0.777479
2,85,2.825567,-1.605903,0.000000,1.120068
2,86,-1.719776,1.489001,0.000000,1.288498
2,87,4.424417,1.674668,0.000000,0.721397
2,88,-0.578971,0.008797,0.000000,0.386258
2,89,1.625377,-0.553565,0.000000,1.149553
2,90,0.249003,0.958394,0.000000,0.738225
2,91,3.007080,1.618175,0.000000,0.822000
2,92,2.970254,-0.847018,0.000000,0.794504
2,93,-3.248961,-1.942026,0.000000,1.340300
2,94,4.037788,0.630435,0.000000,1.053552
2,95,1.286726,0.418290,0.000000,0.402484
2,96,-0.623146,1.222549,0.000000,0.524920
2,97,1.570521,-1.036950,0.000000,1.018019
2,98,3.164770,0.748449,0.000000,1.104303
2,99,-2.404603,1.550171,0.000000,0.532588
3,0,3.519913,-1.369837,0.000000,1.444304
3,1,4.817694,-0.189450,0.000000,1.335476
3,2,2.707061,-1.352286,0.000000,1.421630
3,3,3.082152,1.687120,0.000000,1.051121
3,4,-2.304968,-0.164342,0.000000,0.766109
3,5,4.085058,1.198079,0.000000,1.208617
3,6,2.640439,-0.987929,0.000000,1.291132
3,7,-3.241806,1.093779,0.000000,0.905548
3,8,3.898001,-0.111076,0.000000,0.434544
3,9,-4.667477,0.420741,0.000000,0.322232
3,10,-3.183330,0.282994,0.000000,1.173450
3,11,3.143672,-1.564801,0.000000,1.343189
3,12,2.856790,0.703286,0.000000,1.206501
3,13,-3.381964,0.496695,0.000000,0.409884
3,14,-4.662389,0.146872,0.000000,0.537561
3,15,0.398259,0.303433,0.000000,0.918012
3,16,3.392340,1.417492,0.000000,1.459489
3,17,-3.660155,-0.867969,0.000000,1.025818
3,18,-0.321277,-1.140132,0.000000,0.581082
3,19,2.385561,0.452559,0.000000,1.006000
3,20,-1.413465,-1.251189,0.000000,0.476662
3,21,3.744318,1.768097,0.000000,0.999921
3,22,-3.471458,0.437289,0.000000,0.623194
3,23,-2.719538,-1.817090,0.000000,0.666746
3,24,-4.710275,0.511409,0.000000,0.856262
3,25,1.486597,0.171937,0.000000,1.218677
3,26,-4.484101,0.645613,0.000000,1.341288
3,27,-3.751792,-0.082755,0.000000,0.649408
3,28,0.476046,1.248881,0.000000,0.847906
3,29,0.323561,0.289858,0.000000,0.815974
3,30,1.606459,-1.942743,0.000000,0.449007
3,31,2.228798,-1.306929,0.000000,0.498225
3,32,-2.948412,-1.151468,0.000000,0.857038
3,33,1.673865,-0.118557,0.000000,0.348720
3,34,-0.449331,0.930044,0.000000,1.425481
3,35,-1.576360,-1.112419,0.000000,0.683555
3,36,4.704500,1.815464,0.000000,0.950372
3,37,4.388963,0.957054,0.000000,0.930943
3,38,-0.415191,0.688846,0.000000,0.587341
3,39,-0.991963,-0.864111,0.000000,0.474080
3,40,2.928465,0.274198,0.000000,0.883007
3,41,4.513854,-0.244307,0.000000,0.402079
3,42,3.280187,-1.804639,0.000000,1.085621
3,43,4.394203,-0.829606,0.000000,1.450807
3,44,-1.136673,-0.725392,0.000000,0.934966
3,45,-3.628296,1.392140,0.000000,1.030692
3,46,-0.912044,0.304795,0.000000,0.623129
3,47,2.923635,-1.852830,0.000000,0.885456
3,48,4.781806,1.789020,0.000000,0.978667
3,49,-0.497100,-0.529975,0.000000,0.489294
3,50,-2.915545,-0.690198,0.000000,1.150095
3,51,4.538226,1.079172,0.000000,1.400518
3,52,3.597232,1.722821,0.000000,0.637908
3,53,1.419836,1.297482,0.000000,1.120524
3,54,2.568967,-1.968191,0.000000,0.970223
3,55,4.841755,1.377029,0.000000,1.419255
3,56,4.717499,-1.486791,0.000000,1.428920
3,57,2.713864,1.513750,0.000000,1.136610
3,58,-1.010836,1.209253,0.000000,0.973262
3,59,-3.166114,-0.796109,0.000000,0.947006
3,60,-2.301718,-0.316919,0.000000,0.595586
3,61,1.504551,1.282713,0.000000,0.727478
3,62,-4.179795,1.148354,0.000000,0.568618
3,63,-0.768055,-1.358667,0.000000,0.450574
3,64,0.859745,-1.945030,0.000000,0.382310
3,65,4.343619,-0.888108,0.000000,0.657012
3,66,-3.587989,1.349308,0.000000,0.556655
3,67,0.678728,1.396072,0.000000,0.555505
3,68,0.562263,0.747431,0.000000,0.482501
3,69,0.664841,-0.883472,0.000000,1.248515
3,70,0.630633,-1.721431,0.000000,1.307509
3,71,2.940629,-0.115698,0.000000,1.407112
3,72,-1.260947,0.190077,0.000000,1.406373
3,73,-0.189790,1.987511,0.000000,0.976791
3,74,-3.699162,-0.182130,0.000000,1.283324
3,75,3.114882,0.386606,0.000000,1.479010
3,76,3.578731,1.842826,0.000000,1.374659
3,77,-1.274654,-1.873310,0.000000,0.641426
3,78,-2.817587,-0.869154,0.000000,1.175484
3,79,-1.021033,-0.010798,0.000000,0.517301
3,80,4.227301,-0.989318,0.000000,0.366908
3,81,2.732326,0.927884,0.000000,1.476750
3,82,2.946767,-0.990407,0.000000,1.213223
3,83,4.471261,1.887428,0.000000,1.228352
3,84,2.923610,-1.452828,0.000000,1.150258
3,85,-3.679696,1.225148,0.000000,0.804976
3,86,-2.538642,-0.624195,0.000000,0.518582
3,87,-2.799064,1.874570,0.000000,0.912557
3,88,3.786153,-0.161768,0.000000,0.994118
3,89,-3.057442,-1.633734,0.000000,1.157450
3,90,3.187111,-1.271999,0.000000,1.432622
3,91,4.663040,0.151238,0.000000,0.445634
3,92,-2.249212,-1.686018,0.000000,1.401934
3,93,0.651010,-0.975657,0.000000,0.826480
3,94,0.015016,1.826666,0.000000,0.738072
3,95,-4.633569,1.952064,0.000000,1.437699
3,96,0.706533,-0.117422,0.000000,0.355369
3,97,-3.518427,-1.381115,0.000000,0.719223
3,98,0.444714,0.333638,0.000000,1.240464
3,99,-0.311396,-0.939695,0.000000,0.327856
4,0,-2.232021,-1.696825,-0.013794,0.766195
4,1,2.306839,0.669948,0.008498,1.359811
4,2,-1.869546,0.528562,-0.011667,0.769096
4,3,1.757971,-0.436419,0.008170,1.152560
4,4,4.615950,-1.644502,0.006263,0.699791
4,5,0.018450,-0.383837,-0.022704,1.366330
4,6,0.821248,1.260226,-0.028526,1.443476
4,7,4.548035,1.227792,0.007346,0.625552
4,8,3.357900,0.284011,0.006875,1.320897
4,9,-2.715147,1.888666,0.021623,1.199724
4,10,3.281824,0.368857,0.028478,1.444174
4,11,0.966995,0.807930,0.016079,1.165206
4,12,-3.895168,-0.606843,-0.008523,0.448145
4,13,2.957188,0.215999,0.015436,1.376025
4,14,-2.683927,-0.030357,0.028648,1.445424
4,15,-4.394135,0.641715,0.013942,0.941415
4,16,2.759024,0.005655,-0.006985,1.152080
4,17,2.307715,1.017803,0.002749,0.414131
4,18,3.321072,-1.200523,0.006606,0.334941
4,19,-4.513134,1.791911,-0.023812,1.206778
4,20,2.003140,-1.833967,0.011774,1.113748
4,21,-4.627204,-1.752774,0.005783,0.332364
4,22,-0.571773,-1.999053,0.013527,1.450632
4,23,-0.865609,0.168681,0.009929,1.251040
4,24,-2.274686,-1.948287,0.013122,1.023147
4,25,0.847212,0.862004,-0.015807,0.935871
4,26,-4.332372,0.689001,0.015572,1.416525
4,27,3.372844,-1.524127,-0.011839,0.862840
4,28,-0.791822,0.212108,-0.009188,0.580805
4,29,-3.088250,1.026631,0.014702,0.777391
4,30,-1.913922,-0.805209,0.010721,0.578220
4,31,4.756392,-1.192344,0.005001,0.363083
4,32,-2.136822,-1.962152,-0.018383,1.271032
4,33,-4.284008,1.261528,-0.007906,0.789818
4,34,-4.104589,-1.139876,-0.009264,0.978200
4,35,1.288191,1.195721,0.008282,0.464198
4,36,4.384542,1.044289,0.008181,1.221264
4,37,1.928968,0.562030,-0.011848,0.966618
4,38,-1.605856,0.998933,-0.005795,0.323358
4,39,0.596410,1.297019,-0.011217,1.050747
4,40,-0.460154,-1.798893,-0.020853,1.328415
4,41,-2.612411,1.527983,-0.006289,1.043456
4,42,-3.824046,-1.514333,-0.010715,0.660364
4,43,0.239044,-1.800812,-0.016940,1.285471
4,44,-1.698714,0.630627,-0.011244,0.807163
4,45,2.545521,0.416375,-0.015540,1.374523
4,46,1.334841,-0.297429,-0.002376,0.340344
4,47,-3.656888,0.758134,0.008028,0.881980
4,48,-4.018720,-1.281242,0.010511,0.649349
4,49,1.805746,-0.215915,-0.012148,1.077478
4,50,0.866023,-0.001868,-0.006734,0.681978
4,51,-1.383258,-1.599285,0.016313,1.209529
4,52,2.333928,-1.887769,0.007567,1.213891
4,53,4.939813,-1.839377,0.022675,1.388006
4,54,-0.127723,1.690803,-0.019152,1.478264
4,55,-1.356850,-0.496167,0.014043,0.944328
4,56,-0.399288,-1.845306,0.012750,1.270587
4,57,-4.819850,0.029250,-0.013555,1.377950
4,58,3.334733,-1.030462,0.008108,0.485716
4,59,-2.213515,0.789491,0.006653,0.342314
4,60,2.719853,-1.652966,-0.010358,0.640237
4,61,-3.780511,-0.880281,0.005730,0.963421
4,62,4.562756,-0.698372,-0.008282,0.575496
4,63,-4.695054,1.849308,0.009976,0.933647
4,64,2.272082,-1.150790,0.005458,0.551718
4,65,-0.366486,-1.312588,0.005054,0.528672
4,66,3.351593,0.563603,0.013484,1.344407
4,67,2.275731,-0.069024,0.022904,1.272746
4,68,4.536946,1.486515,-0.006321,0.512680
4,69,-4.887556,1.795882,-0.016879,1.451979
4,70,-2.821020,0.083647,-0.007893,0.984176
4,71,1.501812,-1.222668,-0.002518,0.380715
4,72,0.520945,-0.990346,-0.006964,1.046433
4,73,2.227606,0.567872,0.012621,1.438442
4,74,-3.192099,-1.430194,0.020151,1.076790
4,75,-1.894515,0.796983,-0.006308,0.585301
4,76,3.343992,-1.404827,0.007207,0.636070
4,77,-4.524743,1.622945,0.003761,0.322172
4,78,-4.919727,-0.557052,-0.003000,0.396516
4,79,1.441748,0.291002,0.006099,1.004594
4,80,4.617250,-0.972048,0.011956,1.037195
4,81,-4.031447,-0.575755,0.003993,0.321955
4,82,-0.472423,-1.856142,-0.010583,1.445920
4,83,3.930160,-1.702737,0.029587,1.490936
4,84,0.765365,-0.911708,0.007089,0.651421
4,85,-0.130132,-1.024720,-0.004312,0.449649
4,86,-0.111676,-0.282657,-0.009784,1.130310
4,87,1.219282,-1.168449,0.022448,1.231930
4,88,1.449739,-1.625278,0.009424,1.479251
4,89,-1.902195,0.693732,0.007294,0.807252
4,90,0.238994,1.011445,0.010820,1.158330
4,91,2.225869,0.177921,0.015049,1.329957
4,92,4.979964,0.630529,-0.014441,1.356413
4,93,4.154643,-0.875346,-0.009519,1.214552
4,94,3.059221,0.276477,0.019234,1.464171
4,95,3.296450,-1.622243,-0.021915,1.212166
4,96,1.728821,0.696135,0.010746,0.635594
4,97,-1.735375,0.113585,-0.009617,0.595157
4,98,0.055692,-1.334326,0.016042,0.970828
4,99,-0.006798,1.706313,0.005418,0.559542
