dataset,point,x,y,sigma
15,2,2.499006,2.550507,0.688418
15,3,3.373184,1.162800,0.768669
15,4,3.987890,0.980692,0.825099
15,5,5.319448,3.149576,0.947338
15,6,5.912671,1.195174,1.001797
15,7,7.022529,1.705480,1.103683
15,8,7.621439,3.098000,1.158664
15,9,7.702873,4.681489,1.166139
16,0,0.056797,3.624141,0.738034
16,1,2.186699,5.298594,1.048891
16,2,6.323673,14.914711,1.652678
16,3,6.635634,10.989699,1.698208
16,4,7.174405,13.554482,1.776841
16,5,7.383407,13.365639,1.807345
16,6,7.439628,14.841364,1.815550
16,7,8.522800,16.626749,1.973638
16,8,9.234772,22.443534,2.077550
16,9,9.396268,19.936543,2.101120
17,0,1.149540,-3.741294,0.630831
17,1,1.234951,-4.442711,0.639593
17,2,4.555075,-8.018818,0.980177
17,3,6.797561,-10.706023,1.210215
17,4,7.177098,-7.615985,1.249149
17,5,7.815512,-11.078807,1.314639
17,6,7.820326,-12.549966,1.315132
17,7,7.860740,-9.613302,1.319278
17,8,8.830846,-12.187790,1.418793
17,9,9.017146,-8.025923,1.437904
18,0,0.875783,-0.931377,0.341431
18,1,1.452348,-1.683863,0.374935
18,2,1.990567,-1.994536,0.406210
18,3,4.474362,-4.116800,0.550539
18,4,5.193613,-6.335353,0.592333
18,5,5.947672,-5.798932,0.636150
18,6,6.227746,-6.359199,0.652425
18,7,6.767194,-7.838633,0.683771
18,8,7.360148,-7.625850,0.718227
18,9,8.344861,-8.978776,0.775446
19,0,0.067366,2.734918,0.509777
19,1,2.198893,2.394985,0.724209
19,2,3.952656,4.904844,0.900637
19,3,4.253421,4.523398,0.930894
19,4,4.437291,5.297926,0.949391
19,5,6.266972,6.255259,1.133457
19,6,7.333714,3.793704,1.240771
19,7,8.619395,4.568914,1.370111
19,8,8.954688,2.958679,1.403842
19,9,9.769552,4.554483,1.485817
20,0,3.473822,-5.532929,0.403915
20,1,4.505983,-6.430302,0.453114
20,2,6.452394,-9.709209,0.545892
20,3,7.259180,-10.874831,0.584348
20,4,7.509496,-11.406688,0.596280
20,5,7.617044,-10.823012,0.601406
20,6,7.833901,-11.014781,0.611743
20,7,8.747759,-12.171880,0.655303
20,8,9.342065,-14.659484,0.683632
20,9,9.769189,-12.480332,0.703991
21,0,0.673824,5.018382,0.567338
21,1,1.490784,6.301649,0.649027
21,2,1.694525,7.604461,0.669400
21,3,2.394798,8.570800,0.739422
21,4,6.554024,15.536619,1.155312
21,5,6.789502,18.440303,1.178858
21,6,7.007152,16.547872,1.200621
21,7,7.833191,16.804237,1.283218
21,8,8.060386,20.286812,1.305936
21,9,8.930366,18.978199,1.392927
22,0,0.562381,-2.040861,0.346644
22,1,1.325352,-2.890178,0.394192
22,2,2.091086,-2.082515,0.441912
22,3,4.343819,-2.094677,0.582301
22,4,4.603401,-1.721960,0.598478
22,5,5.866390,-0.325764,0.677187
22,6,6.254546,0.187738,0.701376
22,7,8.681696,1.266808,0.852635
22,8,9.305941,-0.368758,0.891538
22,9,9.822740,-0.767864,0.923744
23,0,0.313871,-3.266186,0.354300
23,1,0.908452,-4.527012,0.393944
23,2,1.844559,-6.480309,0.456358
23,3,2.155132,-7.499011,0.477066
23,4,2.202775,-7.387019,0.480242
23,5,3.253080,-8.869814,0.550271
23,6,4.946463,-12.329882,0.663177
23,7,8.856744,-19.612284,0.923893
23,8,9.743904,-20.637171,0.983044
23,9,9.768528,-19.285177,0.984686
24,0,3.859795,-2.469064,0.758630
24,1,3.890343,-3.037138,0.761246
24,2,4.006710,-2.074623,0.771210
24,3,4.055822,-3.253186,0.775415
24,4,4.994490,-2.093596,0.855790
24,5,5.071880,-3.787836,0.862417
24,6,5.438611,-0.394561,0.893818
24,7,8.961384,1.101097,1.195460
24,8,9.558707,-1.171781,1.246606
24,9,9.847561,2.303178,1.271340
25,0,0.891414,2.172262,0.717973
25,1,1.331568,2.036309,0.771614
25,2,1.529373,1.046508,0.795720
25,3,1.837510,2.357061,0.833272
25,4,4.375300,3.002320,1.142546
25,5,4.760199,2.388086,1.189453
25,6,5.871942,3.579894,1.324939
25,7,6.315462,1.510460,1.378990
25,8,8.302643,1.342035,1.621163
25,9,8.505460,0.476376,1.645880
26,0,0.768549,-5.632243,0.773729
26,1,0.887659,-3.823854,0.789705
26,2,1.278184,-3.297777,0.842085
26,3,1.910134,-3.156721,0.926848
26,4,2.125131,-2.312900,0.955685
26,5,2.222681,-2.274169,0.968770
26,6,3.504132,-3.858438,1.140649
26,7,3.592037,-1.624280,1.152440
26,8,4.189615,-2.630167,1.232592
26,9,7.914361,2.688538,1.732188
27,0,0.103751,-4.012621,0.331441
27,1,1.156644,-3.658462,0.399817
27,2,1.173385,-3.998462,0.400904
27,3,1.607175,-3.399351,0.429075
27,4,3.759897,-3.914185,0.568874
27,5,3.816395,-4.655022,0.572543
27,6,4.685592,-4.783666,0.628990
27,7,7.034431,-2.720050,0.781525
27,8,7.185749,-3.789713,0.791352
27,9,7.232856,-3.693923,0.794411
28,0,0.679156,1.614915,0.481539
28,1,1.209194,1.848864,0.526481
28,2,1.347650,2.249087,0.538221
28,3,2.479192,2.916204,0.634165
28,4,2.900058,3.537416,0.669850
28,5,5.415775,6.688164,0.883159
28,6,6.284345,8.301100,0.956806
28,7,6.681386,7.987697,0.990471
28,8,7.187380,7.879325,1.033375
28,9,8.409611,13.284565,1.137009
29,0,0.319289,0.684167,0.434040
29,1,1.822404,0.247268,0.556691
29,2,1.947851,1.449448,0.566927
29,3,4.348398,1.447568,0.762805
29,4,4.673656,1.097023,0.789345
29,5,6.122745,3.231055,0.907587
29,6,6.366851,2.002233,0.927506
29,7,6.430272,1.583391,0.932681
29,8,7.220471,2.438142,0.997159
29,9,8.958064,5.522346,1.138942
30,0,1.776758,-1.926203,0.304281
30,1,2.776503,-3.430801,0.349170
30,2,3.358279,-4.813176,0.375293
30,3,3.915540,-6.317942,0.400314
30,4,6.263172,-10.064779,0.505724
30,5,6.366166,-9.864395,0.510349
30,6,8.121249,-14.999559,0.589153
30,7,8.290360,-15.361400,0.596747
30,8,8.380854,-13.601738,0.600810
30,9,8.753794,-15.791827,0.617555
31,0,1.250921,0.510885,0.311437
31,1,1.916987,-0.141222,0.344622
31,2,2.166468,-0.363005,0.357051
31,3,3.506886,-2.505371,0.423834
31,4,5.861377,-5.430202,0.541141
31,5,6.806733,-6.144792,0.588241
31,6,6.969222,-7.722967,0.596337
31,7,7.795054,-8.126741,0.637482
31,8,7.873286,-6.684086,0.641379
31,9,9.146838,-10.144949,0.704831
32,0,0.749188,-3.276635,0.492727
32,1,1.011643,-4.428991,0.515221
32,2,2.064379,-4.838210,0.605444
32,3,2.581138,-5.591154,0.649732
32,4,5.559263,-8.522358,0.904969
32,5,5.724407,-8.038109,0.919122
32,6,5.942294,-9.797193,0.937796
32,7,6.610920,-11.200048,0.995100
32,8,7.415299,-11.516121,1.064038
32,9,7.416144,-11.180104,1.064111
33,0,0.249831,1.631145,0.183072
33,1,1.119271,1.537563,0.213391
33,2,2.093889,1.190166,0.247378
33,3,3.733590,0.856922,0.304558
33,4,3.883897,0.848670,0.309799
33,5,5.699715,0.904429,0.373120
33,6,7.148309,0.106032,0.423636
33,7,7.812058,0.399441,0.446782
33,8,7.946179,1.142461,0.451459
33,9,8.989046,0.412162,0.487826
34,0,1.769345,0.209630,0.964957
34,1,2.528198,1.974266,1.073130
34,2,2.913666,0.352785,1.128078
34,3,3.388840,2.949033,1.195813
34,4,3.646063,4.307196,1.232480
34,5,5.084935,4.869451,1.437588
34,6,7.066408,6.015827,1.720043
34,7,8.359720,7.216745,1.904402
34,8,8.992581,7.335984,1.994616
34,9,9.006892,3.094296,1.996656
35,0,1.255599,-3.341785,0.427605
35,1,1.652764,-3.280205,0.454753
35,2,1.716272,-4.312852,0.459094
35,3,2.339296,-4.278073,0.501681
35,4,2.990789,-5.010477,0.546215
35,5,5.138430,-5.918522,0.693018
35,6,6.868498,-8.733205,0.811277
35,7,6.994964,-8.448132,0.819922
35,8,8.297554,-11.504081,0.908961
35,9,9.186443,-12.910019,0.969722
36,0,0.301653,4.800816,0.503854
36,1,0.862612,6.799614,0.557166
36,2,1.407918,8.497287,0.608991
36,3,2.128415,7.910281,0.677465
36,4,2.259050,8.604335,0.689880
36,5,3.206679,8.798081,0.779940
36,6,5.589194,15.877901,1.006367
36,7,6.917784,15.653790,1.132633
36,8,7.516606,18.302825,1.189543
36,9,9.418151,22.574923,1.370261
37,0,0.524946,4.919579,0.514341
37,1,1.621208,6.599649,0.616397
37,2,1.962713,6.671630,0.648189
37,3,4.280015,9.047270,0.863916
37,4,4.780723,10.030140,0.910529
37,5,6.145805,8.423559,1.037610
37,6,8.058101,12.448218,1.215634
37,7,8.097017,12.325430,1.219257
37,8,8.131577,11.328905,1.222475
37,9,9.523497,14.821992,1.352054
38,0,0.898760,-0.192851,0.346458
38,1,2.001481,0.512081,0.411225
38,2,2.928378,1.682144,0.465666
38,3,3.532568,2.073979,0.501152
38,4,3.982311,1.670676,0.527568
38,5,6.944599,4.216814,0.701555
38,6,7.080599,3.681112,0.709543
38,7,7.420916,5.198415,0.729531
38,8,7.609190,5.393135,0.740589
38,9,8.762627,6.515273,0.808335
39,0,1.292203,-2.622876,0.298301
39,1,1.560895,-2.553894,0.311039
39,2,3.105202,-3.637618,0.384252
39,3,4.444781,-4.815785,0.447758
39,4,6.644124,-6.902665,0.552025
39,5,8.186778,-8.377987,0.625159
39,6,8.383680,-8.490110,0.634494
39,7,8.479206,-7.670740,0.639022
39,8,8.873239,-7.949867,0.657703
39,9,9.186923,-8.858265,0.672574
40,0,0.886000,3.999525,0.519738
40,1,2.485273,4.159486,0.660955
40,2,4.900626,4.356096,0.874232
40,3,5.778138,3.219685,0.951717
40,4,5.842794,3.905297,0.957426
40,5,8.284607,3.927991,1.173040
40,6,8.319777,4.603377,1.176145
40,7,8.324442,5.648373,1.176557
40,8,8.955038,4.783875,1.232239
40,9,9.352468,6.640336,1.267332
41,0,0.308363,4.413978,0.213438
41,1,1.362818,4.248182,0.255835
41,2,1.892344,3.633134,0.277127
41,3,2.766813,3.540330,0.312287
41,4,3.389124,4.075619,0.337309
41,5,4.174867,2.845456,0.368902
41,6,5.466820,2.392524,0.420849
41,7,5.959465,3.107932,0.440657
41,8,8.914790,1.464736,0.559484
41,9,9.132441,3.134202,0.568236
42,0,0.591177,2.769822,0.606990
42,1,0.706875,1.743861,0.619550
42,2,1.067397,1.725909,0.658689
42,3,1.429503,0.794265,0.698000
42,4,1.946027,-1.411102,0.754075
42,5,2.426124,-1.738608,0.806196
42,6,3.674996,-4.032156,0.941776
42,7,3.876002,-4.659119,0.963598
42,8,5.773978,-8.060045,1.169646
42,9,9.170336,-11.419234,1.538362
43,0,1.515362,2.699528,0.945253
43,1,2.671589,2.099629,1.112999
43,2,3.246922,2.819731,1.196469
43,3,3.602780,3.716837,1.248097
43,4,4.402868,1.982827,1.364174
43,5,5.386068,0.707474,1.506818
43,6,6.221195,2.044979,1.627979
43,7,7.298190,-0.057938,1.784230
43,8,7.368674,-5.421988,1.794456
43,9,8.118936,-1.711518,1.903304
44,0,2.546192,-3.281376,0.705543
44,1,6.575909,-5.751823,1.082308
44,2,6.603239,-5.599649,1.084863
44,3,7.241327,-6.261068,1.144522
44,4,7.455994,-6.278684,1.164593
44,5,7.528856,-5.978509,1.171405
44,6,7.655205,-5.354089,1.183219
44,7,8.872307,-8.927705,1.297014
44,8,9.560189,-9.268329,1.361328
44,9,9.694314,-12.142402,1.373868
45,0,1.557477,-1.681820,0.675874
45,1,3.025969,2.028028,0.827230
45,2,4.035668,2.761888,0.931299
45,3,6.810438,8.143739,1.217292
45,4,7.076574,6.512471,1.244723
45,5,8.083067,6.439665,1.348461
45,6,9.464590,8.592731,1.490854
45,7,9.506211,9.554168,1.495144
45,8,9.898449,10.745843,1.535571
45,9,9.945690,11.987895,1.540440
46,0,4.278554,-0.123825,0.578174
46,1,4.489478,-0.244835,0.591317
46,2,4.561080,0.445286,0.595779
46,3,5.060152,0.469479,0.626878
46,4,6.434291,2.261315,0.712504
46,5,7.694983,1.984995,0.791062
46,6,8.608659,2.900659,0.847995
46,7,9.037099,2.184282,0.874693
46,8,9.087603,2.594755,0.877840
46,9,9.971679,1.868362,0.932929
47,0,0.335873,2.873445,0.472468
47,1,1.187292,1.347294,0.547857
47,2,1.447261,-0.132957,0.570877
47,3,2.376478,-1.615628,0.653155
47,4,2.739388,-3.030838,0.685289
47,5,4.117798,-6.196627,0.807341
47,6,4.935439,-6.969995,0.879739
47,7,5.076558,-7.190911,0.892235
47,8,8.242564,-13.401146,1.172571
47,9,9.546389,-13.738938,1.288019
48,0,2.136295,8.566055,0.698406
48,1,2.438909,10.413850,0.728022
48,2,3.285682,9.258210,0.810892
48,3,4.775473,14.233770,0.956693
48,4,4.896203,14.473072,0.968509
48,5,6.064190,17.677639,1.082816
48,6,6.606491,18.127315,1.135889
48,7,6.667856,14.964688,1.141895
48,8,8.035628,19.928285,1.275754
48,9,8.561043,20.590367,1.327175
49,0,0.312485,-0.902019,0.259937
49,1,1.021332,-0.747480,0.294620
49,2,3.078752,-2.225095,0.395288
49,3,3.583226,-2.834463,0.419972
49,4,4.857786,-2.855766,0.482335
49,5,5.135060,-3.868057,0.495902
49,6,6.115115,-3.845873,0.543856
49,7,7.876814,-3.773955,0.630055
49,8,7.925222,-4.909771,0.632423
49,9,8.349284,-3.465547,0.653172
50,0,0.140643,-3.404675,0.591223
50,1,0.492921,-3.155885,0.631738
50,2,3.495762,-3.631824,0.977093
50,3,4.540224,-5.400157,1.097216
50,4,4.585180,-7.454065,1.102386
50,5,5.032877,-5.383208,1.153876
50,6,5.044144,-5.904439,1.155172
50,7,7.463840,-10.484114,1.433460
50,8,8.210836,-6.384908,1.519371
50,9,9.310562,-11.554444,1.645850
51,0,1.109602,7.272178,0.855661
51,1,1.825907,6.529241,0.955980
51,2,1.865904,7.168681,0.961582
51,3,2.933796,5.383496,1.111142
51,4,3.717429,7.110071,1.220892
51,5,4.869383,9.814905,1.382225
51,6,5.120497,13.299045,1.417394
51,7,6.403409,12.111102,1.597068
51,8,7.400971,11.725500,1.736778
51,9,7.752750,13.229743,1.786046
52,0,0.093440,4.292952,0.324915
52,1,0.198913,3.730611,0.331643
52,2,1.004365,5.663312,0.383023
52,3,2.490266,8.602275,0.477810
52,4,2.942966,9.668306,0.506688
52,5,3.907239,9.630191,0.568200
52,6,5.525328,12.363860,0.671419
52,7,7.315487,15.550921,0.785615
52,8,8.280026,17.860561,0.847143
52,9,9.502941,19.853523,0.925154
53,0,1.093710,3.142248,0.682815
53,1,1.926418,4.459390,0.776122
53,2,2.013475,3.861707,0.785877
53,3,4.756832,6.340650,1.093277
53,4,5.221155,6.420228,1.145305
53,5,5.558874,7.634829,1.183147
53,6,7.162010,10.762932,1.362783
53,7,8.746803,14.766683,1.540363
53,8,9.316816,14.307566,1.604234
53,9,9.923202,16.281710,1.672181
54,0,0.338798,2.360818,0.517982
54,1,1.792953,-1.810130,0.659068
54,2,2.361416,-1.748622,0.714221
54,3,3.196170,-3.895612,0.795211
54,4,5.144878,-8.252835,0.984279
54,5,6.480465,-11.540747,1.113861
54,6,7.679510,-11.688875,1.230195
54,7,7.717584,-13.029584,1.233889
54,8,9.284624,-15.309156,1.385926
54,9,9.332557,-15.303193,1.390577
55,0,0.314714,5.493159,0.754293
55,1,0.531666,5.586529,0.785084
55,2,3.353434,10.429596,1.185565
55,3,4.384030,9.455714,1.331833
55,4,4.814465,12.228401,1.392923
55,5,7.336803,13.796857,1.750907
55,6,7.687026,11.819059,1.800612
55,7,7.965892,13.210994,1.840191
55,8,9.201618,17.539290,2.015572
55,9,9.982910,20.210794,2.126457
56,0,0.147428,4.140884,0.735526
56,1,0.223789,4.992224,0.746438
56,2,0.865822,2.620303,0.838179
56,3,1.207884,2.790124,0.887057
56,4,1.717866,2.797580,0.959929
56,5,2.329960,1.599223,1.047393
56,6,4.888059,-3.542187,1.412925
56,7,6.905205,-4.440246,1.701159
56,8,6.967231,-5.897692,1.710022
56,9,7.185045,-4.539204,1.741146
57,0,2.013666,6.147309,0.797181
57,1,2.026391,6.000473,0.798627
57,2,2.342933,6.608653,0.834605
57,3,3.367404,8.149969,0.951048
57,4,5.755552,10.192402,1.222487
57,5,8.076510,15.219276,1.486290
57,6,8.657661,15.693143,1.552344
57,7,9.158771,16.347763,1.609300
57,8,9.204920,17.524015,1.614546
57,9,9.205921,16.264453,1.614660
58,0,0.434414,-1.050437,0.528911
58,1,0.893606,0.065801,0.573602
58,2,1.734868,-0.324870,0.655479
58,3,1.919028,1.067690,0.673402
58,4,1.968305,1.296205,0.678198
58,5,3.032107,1.259907,0.781734
58,6,6.251833,7.077456,1.095098
58,7,8.332987,9.504451,1.297648
58,8,9.052866,10.878958,1.367711
58,9,9.234424,8.672922,1.385382
59,0,0.327104,-4.428274,0.504480
59,1,1.167530,-5.240565,0.584069
59,2,1.674704,-5.359652,0.632098
59,3,3.209128,-5.672833,0.777409
59,4,5.121820,-7.978522,0.958542
59,5,5.574003,-7.946710,1.001364
59,6,6.862467,-8.431807,1.123383
59,7,7.619612,-12.092053,1.195085
59,8,7.903869,-9.750906,1.222004
59,9,9.241209,-7.919053,1.348651
60,0,1.471506,-3.164797,0.385434
60,1,1.498334,-2.491002,0.387032
60,2,2.742746,-3.323958,0.461147
60,3,2.915253,-3.602834,0.471421
60,4,3.202310,-4.327826,0.488518
60,5,3.984465,-3.499890,0.535102
60,6,4.979975,-3.381661,0.594393
60,7,7.273487,-4.138308,0.730992
60,8,8.731801,-4.447345,0.817847
60,9,9.899562,-5.296294,0.887397
61,0,0.932756,1.838028,0.431595
61,1,1.003500,3.453813,0.436741
61,2,1.124458,3.348029,0.445541
61,3,3.584967,5.317354,0.624538
61,4,5.379624,8.173906,0.755095
61,5,6.157871,8.379068,0.811711
61,6,6.643226,9.030238,0.847019
61,7,7.198573,12.873678,0.887419
61,8,7.527957,10.315661,0.911381
61,9,8.841395,12.938058,1.006931
62,0,1.346122,-2.681481,0.360852
62,1,1.521184,-2.289060,0.370806
62,2,2.649336,-0.738828,0.434955
62,3,3.456995,-0.241151,0.480880
62,4,5.110929,1.067700,0.574925
62,5,5.672709,1.657433,0.606869
62,6,6.347781,2.196764,0.645255
62,7,6.880541,3.691062,0.675549
62,8,8.359941,4.564397,0.759670
62,9,9.467129,6.254954,0.822627
63,0,0.315813,-1.078187,0.239517
63,1,0.682403,-1.165188,0.256034
63,2,1.907252,-3.113617,0.311223
63,3,3.587572,-5.917179,0.386934
63,4,4.179049,-7.234676,0.413584
63,5,4.350562,-6.838864,0.421312
63,6,4.726595,-7.433367,0.438255
63,7,6.850341,-10.714392,0.533946
63,8,7.077328,-10.780193,0.544173
63,9,9.185422,-12.434349,0.639158
64,0,0.885106,-0.716966,0.224994
64,1,1.962673,-3.069284,0.266190
64,2,3.271982,-5.895078,0.316247
64,3,3.640197,-6.156642,0.330324
64,4,4.679086,-7.762788,0.370042
64,5,5.620390,-9.391772,0.406029
64,6,6.707904,-11.947929,0.447605
64,7,8.306173,-16.030377,0.508709
64,8,8.851202,-16.291577,0.529546
64,9,9.088502,-16.908665,0.538618
65,0,2.318077,2.694100,0.480807
65,1,3.888632,1.207011,0.583994
65,2,4.704119,1.699551,0.637573
65,3,5.289592,0.197791,0.676039
65,4,5.885574,-0.859684,0.715196
65,5,6.931371,-2.539009,0.783906
65,6,7.198873,-1.833824,0.801481
65,7,9.134203,-1.747109,0.928635
65,8,9.151297,-3.430735,0.929758
65,9,9.534956,-5.296219,0.954965
66,0,1.851227,-1.734989,0.381377
66,1,2.920514,0.037851,0.440900
66,2,3.128322,0.547804,0.452467
66,3,3.711436,1.115733,0.484927
66,4,5.904195,5.586598,0.606988
66,5,6.149657,4.304929,0.620652
66,6,8.100643,8.745208,0.729254
66,7,9.068478,5.525283,0.783129
66,8,9.215650,7.102730,0.791322
66,9,9.886833,9.802384,0.828684
67,0,0.749889,1.929731,0.319409
67,1,1.887975,2.861215,0.382631
67,2,6.030658,9.650423,0.612759
67,3,6.952932,9.410656,0.663992
67,4,7.000753,10.467716,0.666648
67,5,8.801507,12.642023,0.766681
67,6,8.815765,13.454463,0.767473
67,7,9.338507,14.487928,0.796512
67,8,9.556667,13.842463,0.808631
67,9,9.610223,13.618497,0.811606
68,0,3.170480,1.996529,0.394227
68,1,3.848084,3.355575,0.426921
68,2,4.129132,4.003008,0.440482
68,3,4.548909,3.674690,0.460736
68,4,4.609387,3.399006,0.463654
68,5,8.115125,7.063179,0.632806
68,6,8.119919,6.492744,0.633038
68,7,8.200923,7.506775,0.636946
68,8,8.443448,6.996086,0.648648
68,9,9.209654,7.965263,0.685618
69,0,1.752787,-1.613767,0.843096
69,1,2.145984,-1.089247,0.892187
69,2,3.488953,-2.810816,1.059859
69,3,4.951296,-4.036134,1.242434
69,4,5.097511,-6.560722,1.260690
69,5,5.292936,-4.084531,1.285089
69,6,6.144728,-3.515013,1.391436
69,7,6.431880,-5.648045,1.427288
69,8,7.335405,-7.440417,1.540094
69,9,8.067781,-8.005705,1.631532
70,0,0.181178,0.892639,0.677444
70,1,1.338656,-0.907174,0.828785
70,2,1.809240,-3.139940,0.890315
70,3,1.973730,-2.899071,0.911822
70,4,5.429648,-7.812044,1.363686
70,5,5.476348,-9.404151,1.369792
70,6,6.511760,-14.086174,1.505173
70,7,6.715153,-12.314414,1.531767
70,8,7.346879,-7.773067,1.614366
70,9,9.513909,-17.472673,1.897707
71,0,0.176015,2.233319,0.728323
71,1,1.110750,4.798164,0.859851
71,2,2.168499,2.678115,1.008688
71,3,2.204429,3.345290,1.013744
71,4,3.314826,0.834307,1.169990
71,5,4.356788,3.967820,1.316605
71,6,4.379187,2.756913,1.319757
