dataset,point,x,y,sigma
47,7,7.607423,0.308818,1.503211
47,8,7.913276,2.828654,1.490152
47,9,9.845204,3.573511,1.233053
48,0,0.636072,-5.086896,0.868791
48,1,1.044515,-3.274807,1.219815
48,2,2.437916,-7.135318,1.275305
48,3,4.530823,-9.218042,1.180360
48,4,5.539240,-8.255144,1.199422
48,5,7.166344,-14.265658,1.015726
48,6,8.729816,-14.788509,0.616192
48,7,8.971205,-14.422012,0.285363
48,8,9.781300,-15.437388,0.790652
48,9,9.903814,-15.838477,0.755930
49,0,0.802779,0.938537,0.429875
49,1,1.331405,1.832604,0.976605
49,2,1.452449,-0.223340,1.322896
49,3,1.834769,1.139552,0.662846
49,4,3.943397,2.212428,1.119536
49,5,5.035719,1.955417,1.099673
49,6,5.082927,0.147118,1.430318
49,7,7.364197,-2.344889,1.541093
49,8,7.876908,-1.128762,1.164513
49,9,9.930371,-1.439946,0.852167
50,0,0.577368,0.654824,1.354728
50,1,0.861339,0.923466,0.383278
50,2,0.964081,1.796460,1.206974
50,3,2.886320,1.559322,0.847731
50,4,3.344141,0.960562,0.383889
50,5,4.004592,0.058718,0.614868
50,6,4.346390,0.073908,0.348850
50,7,4.351360,1.705423,0.791821
50,8,6.895615,0.897052,0.643705
50,9,9.977871,0.681987,1.230921
51,0,1.518758,-1.428469,2.034361
51,1,2.981575,-7.573403,1.305282
51,2,3.048916,-5.278114,0.890753
51,3,5.961328,-11.810656,1.085925
51,4,6.798791,-11.775005,0.885845
51,5,6.875380,-9.110924,2.154657
51,6,7.140028,-11.379638,2.351167
51,7,8.056604,-15.510679,1.305928
51,8,9.254011,-14.145736,1.466047
51,9,9.775913,-14.229509,0.803592
52,0,1.155661,-0.323329,1.218814
52,1,3.056633,-5.095006,1.062598
52,2,3.459580,-4.954609,1.509664
52,3,5.533423,-8.451204,2.422843
52,4,6.506969,-10.885628,0.688017
52,5,7.190206,-9.898797,0.974827
52,6,7.354712,-12.020219,0.723885
52,7,7.441087,-11.645499,1.357293
52,8,7.530059,-11.261502,0.793986
52,9,8.662298,-13.094931,0.802845
53,0,1.401491,2.698730,0.507927
53,1,1.440665,-0.390230,1.800676
53,2,1.517666,3.731100,2.452434
53,3,1.826369,3.638952,2.149813
53,4,3.154733,-0.797223,0.720449
53,5,4.312455,-3.790946,1.062608
53,6,5.015680,-6.568142,2.365533
53,7,6.011459,-5.580331,2.492997
53,8,7.747933,-9.320489,1.690242
53,9,9.770764,-10.344873,0.451039
54,0,2.607950,6.519397,2.833519
54,1,3.510360,7.126603,2.152218
54,2,3.822012,8.732111,2.883635
54,3,4.006500,6.753676,1.674108
54,4,4.202069,4.905948,2.188947
54,5,5.220564,8.620953,2.575792
54,6,7.189674,10.277926,2.880145
54,7,8.120527,15.287328,2.549611
54,8,8.175693,15.224209,1.979355
54,9,9.022286,11.370571,2.827552
55,0,0.639544,-1.988924,0.695889
55,1,1.956962,-3.483299,1.527687
55,2,2.161955,-1.520116,1.174879
55,3,2.418036,-5.061483,1.830462
55,4,3.612670,-2.898576,1.293541
55,5,4.244306,-3.314426,0.501221
55,6,7.041708,-4.021927,0.617197
55,7,7.279959,-4.714919,0.779168
55,8,8.058563,-5.155755,1.197806
55,9,9.848473,-3.379593,1.731562
56,0,3.813549,-6.307585,2.161598
56,1,4.406375,-8.244136,0.606863
56,2,4.410853,-6.498236,1.712052
56,3,4.482198,-7.281580,0.769368
56,4,4.761675,-8.186406,0.724207
56,5,4.922410,-8.874850,1.027410
56,6,5.078286,-9.094846,1.253105
56,7,5.305667,-9.998726,0.440225
56,8,6.478924,-11.759163,0.896059
56,9,7.914418,-14.172488,0.560031
57,0,0.580412,-5.666229,0.765068
57,1,2.405376,-5.489364,1.070647
57,2,2.699060,-4.669841,1.092218
57,3,4.341289,-4.296698,0.631658
57,4,5.013531,-4.019739,1.292462
57,5,6.742462,-4.751562,0.869457
57,6,6.912516,-5.325734,2.213506
57,7,7.274074,-5.856063,0.973825
57,8,9.005338,-3.851465,2.725243
57,9,9.632393,-2.153309,1.392527
58,0,1.116489,1.515360,0.815555
58,1,1.966587,1.529343,0.729896
58,2,2.273201,1.028253,0.250181
58,3,5.150481,-1.563328,0.539629
58,4,5.389341,-1.881773,0.937809
58,5,6.014832,-1.427695,0.505152
58,6,7.009791,-2.382070,0.890620
58,7,8.042007,-4.196331,0.751052
58,8,9.190762,-4.957197,0.790048
58,9,9.223994,-5.287345,0.954286
59,0,0.360765,-1.929855,0.318197
59,1,4.111748,1.280543,0.168343
59,2,4.325637,1.791349,0.487051
59,3,4.367965,1.412442,0.198256
59,4,4.627798,1.755350,0.618756
59,5,5.601876,2.302783,0.608176
59,6,6.017899,2.598037,0.151770
59,7,6.548703,3.096986,0.185713
59,8,7.760165,3.508601,0.545208
59,9,9.279261,6.283369,0.575452
60,0,0.393317,1.378579,0.954071
60,1,0.834570,1.657379,0.501247
60,2,2.323464,-0.626438,0.407680
60,3,2.407738,-0.500341,0.646746
60,4,2.500727,-0.814704,0.532415
60,5,5.218421,-5.954556,1.201033
60,6,8.261941,-11.813937,0.733513
60,7,8.655671,-13.009581,0.619686
60,8,9.067425,-11.671770,0.984699
60,9,9.400093,-13.005438,0.539308
61,0,0.002977,-3.166946,1.082523
61,1,3.470267,-6.255913,1.582036
61,2,4.245934,-7.165339,1.158532
61,3,4.333884,-6.797663,1.365386
61,4,6.400952,-10.208090,1.346489
61,5,6.750320,-8.732850,0.935943
61,6,7.347859,-9.630691,0.869225
61,7,8.074967,-9.613414,1.468047
61,8,8.498479,-11.174041,0.481993
61,9,9.620379,-9.729195,1.707055
62,0,0.227553,3.549708,0.537074
62,1,0.325668,4.644426,0.270845
62,2,0.696054,4.325580,0.461790
62,3,1.745391,2.960436,0.938967
62,4,1.988752,1.744703,0.481132
62,5,2.200353,2.447466,0.424756
62,6,3.148103,1.935015,0.755941
62,7,7.683925,-1.228961,0.829177
62,8,9.322611,-2.879159,0.396836
62,9,9.465634,-2.991840,0.363163
63,0,0.116092,-4.879175,0.605274
63,1,1.945884,-1.003981,0.529811
63,2,2.216631,-1.683083,0.705913
63,3,2.224549,-1.123140,0.967626
63,4,2.713459,2.194098,0.736248
63,5,4.131039,2.257974,0.421106
63,6,5.252337,4.556114,1.060903
63,7,6.250072,8.173123,1.657177
63,8,7.158691,10.794510,1.533979
63,9,9.973434,17.585870,1.298171
64,0,0.509686,1.817935,0.313989
64,1,2.628076,-1.154073,0.820043
64,2,2.936425,-0.579189,0.265963
64,3,3.158676,-1.638615,0.414290
64,4,3.342743,-1.565056,0.337507
64,5,3.675710,-1.293445,0.832749
64,6,4.358403,-2.664010,0.167544
64,7,5.398491,-4.877921,0.880143
64,8,6.937888,-5.766003,0.503039
64,9,8.559998,-5.982209,0.615333
65,0,0.876377,-1.528975,0.163723
65,1,1.024645,-0.719669,1.043254
65,2,1.095452,-1.511534,0.673460
65,3,2.242950,-4.153981,0.616296
65,4,2.303291,-3.565797,0.610793
65,5,4.267212,-4.882076,0.676852
65,6,5.704386,-7.646978,0.664252
65,7,6.430432,-8.408992,0.997215
65,8,8.210764,-11.337403,0.680229
65,9,9.544802,-12.404945,0.609512
66,0,2.230575,3.778276,1.416228
66,1,2.664994,4.541847,1.009031
66,2,5.231944,6.519043,0.913124
66,3,5.425662,8.502162,2.231690
66,4,6.290369,6.621905,1.898233
66,5,6.819055,7.846010,1.049035
66,6,9.056610,7.496106,2.058356
66,7,9.203031,9.196455,2.453732
66,8,9.221833,10.497683,0.996721
66,9,9.287814,13.661656,2.057101
67,0,0.249714,4.462149,1.765445
67,1,1.202821,2.365638,0.854116
67,2,1.678472,1.983289,1.028391
67,3,2.095268,1.197371,1.054495
67,4,3.804332,1.807928,2.092066
67,5,4.491792,3.591462,1.476707
67,6,5.130385,2.169986,1.027301
67,7,5.592862,1.355286,1.814908
67,8,8.389555,4.041259,1.351683
67,9,9.485119,3.381384,2.276244
68,0,0.170261,5.875073,0.758069
68,1,0.761307,5.431810,0.621917
68,2,1.897016,7.535566,0.847093
68,3,3.244831,10.044553,0.881473
68,4,3.530100,10.158300,0.939165
68,5,4.665015,11.543283,0.292999
68,6,6.353559,15.595291,1.025034
68,7,7.438220,15.225917,0.998487
68,8,7.697457,15.660373,0.410361
68,9,9.615780,16.897680,0.570270
69,0,0.880552,-2.684613,0.795647
69,1,2.565780,-3.524197,1.942763
69,2,3.548342,-2.081836,2.440073
69,3,4.679294,1.773292,1.929939
69,4,4.961999,3.544579,0.528626
69,5,5.946835,4.600399,1.584446
69,6,6.528834,7.007698,2.196496
69,7,6.702749,6.077971,0.833527
69,8,7.773361,6.708339,1.554794
69,9,9.271376,12.390626,2.790736
70,0,1.232687,-1.567971,1.443743
70,1,1.366309,-2.621104,0.969433
70,2,1.713023,-3.014457,1.752038
70,3,2.538096,-3.625612,1.908380
70,4,2.661011,-5.042131,1.724511
70,5,4.686192,-2.979332,0.772657
70,6,7.914612,-2.554732,1.602193
70,7,7.956978,-1.578639,1.137703
70,8,8.871671,-3.188797,0.950806
70,9,9.501045,-0.924970,0.930594
71,0,0.190155,0.993383,0.456378
71,1,1.725353,-0.502003,0.219496
71,2,5.669081,-5.561080,0.149628
71,3,5.700138,-5.548354,0.159130
71,4,6.746070,-5.997010,0.355881
71,5,7.632589,-8.572336,0.557265
